,P1,P2,P3,P4,P5
TIM,Dustin Johnson,J.B. Holmes,Jim Furyk,Lee Westwood,Steve Stricker
RYAN,Jason Day,Phil Mickelson,Charl Schwartzel,Kevin Na,Jason Dufner
JASJIT,Jordan Spieth,Patrick Reed,Brandt Snedeker,Andy Sullivan,Anirban Lahiri
ERIC,Rickie Fowler,Brooks Koepka,Charl Schwartzel,Lee Westwood,Charley Hoffman
BRENDAN,Rory McIlroy,J.B. Holmes,Brandt Snedeker,Lee Westwood,Martin Kaymer
JASON,Henrik Stenson,Hideki Matsuyama,Brandt Snedeker,Bill Haas,Martin Kaymer
SOLOWEY,Dustin Johnson,J.B. Holmes,Brandt Snedeker,Justin Thomas,Steve Stricker
FARRELL,Jordan Spieth,Justin Rose,Jim Furyk,Byeong-Hun An,William McGirt
PATIL,Dustin Johnson,Justin Rose,Brandt Snedeker,Kevin Chappell,Danny Lee
RAKESH,Dustin Johnson,Phil Mickelson,Rafael Cabrera Bello,Bill Haas,Anirban Lahiri
CHRIS DUNN,Sergio Garcia,Phil Mickelson,Jim Furyk,Kevin Chappell,Andrew Johnston
